customer_id,state,fav_tennis_player,age_group
U10000,California,Emma Raducanu,45+
U100067,US State,Queen Serena,25-34
U100083,Texas,Queen Serena,18-24
U100106,Pennsylvania,Serena Williams,25-34
U100154,Illinois,Rafa,45+
U100236,California,Emma Raducanu,45+
U100251,Illinois,Emma Raducanu,25-34
U100294,Illinois,Rafa,45+
U100310,Pennsylvania,Rafa,25-34
U100355,Pennsylvania,Rafa,45+
U100367,Texas,Rafael Nadal,25-34
U100384,Pennsylvania,Roder Feedderer,18-24
U100386,Illinois,Emma Radunanucanunu,18-24
U100442,Texas,Rafa Nadal,45+
U10051,Illinois,Emma Raducanu,25-34
U100544,Texas,Rafa,25-34
U10056,Illinois,Rafa,45+
U100566,Pennsylvania,Emma Raducanu,18-24
U10064,Pennsylvania,Rafa,25-34
U100650,California,Roder Feedderer,45+
U10069,Pennsylvania,Roder Feedderer,18-24
U100690,Pennsylvania,Emma Radunanucanunu,45+
U100726,Texas,Emma Radunanucanunu,18-24
U10080,Illinois,Emma Radunanucanunu,18-24
U100895,New York,Rafa,25-34
U10094,Texas,Rafa Nadal,45+
U100975,Texas,Emma Raducanu,18-24
U101010,Illinois,Emma Raducanu,34-45
U101041,Ohio,Emma Raducanu,18-24
U10107,Texas,Rafa,25-34
U101076,New York,Queen Serena,34-45
U1011,Pennsylvania,Emma Raducanu,18-24
U101157,Illinois,Roger Federer,18-24
U101168,California,Serena Williams,18-24
U101187,Texas,Serena Williams,18-24
U101271,Illinois,Rafa,18-24
U1013,California,Roder Feedderer,45+
U101379,California,Roder Feedderer,18-24
U101383,Illinois,Rafa,45+
U10143,Pennsylvania,Emma Radunanucanunu,45+
U101612,US State,Rafa Nadal,45+
U101613,Texas,Rafael Nadal,18-24
U10162,Texas,Emma Radunanucanunu,18-24
U101636,Illinois,Rafa Nadal,18-24
U101653,New York,Emma Radunanucanunu,45+
U10166,New York,Rafa,25-34
U10174,Texas,Emma Raducanu,18-24
U10178,Illinois,Emma Raducanu,34-45
U101888,Illinois,Roger Federer,18-24
U10195,Ohio,Emma Raducanu,18-24
U102009,Ohio,Rafael Nadal,18-24
U102047,Illinois,Roder Feedderer,34-45
U10208,New York,Queen Serena,34-45
U102109,New York,Rafael Nadal,45+
U10211,Texas,Serena Williams,18-24
U102124,Ohio,Rafa,18-24
U102131,Florida,Rafa Nadal,34-45
U102149,New York,Emma Raducanu,18-24
U10215,Illinois,Rafa,18-24
U102156,Florida,Roger Federer,18-24
U10218,California,Roder Feedderer,18-24
U102206,Pennsylvania,Queen Serena,45+
U10221,Illinois,Rafa,45+
U102302,Illinois,Emma Raducanu,45+
U102315,Ohio,Rafael Nadal,34-45
U102325,Pennsylvania,Roger Federer,34-45
U102362,Pennsylvania,Roder Feedderer,34-45
U102415,Ohio,Emma Radunanucanunu,18-24
U102419,Texas,Roder Feedderer,34-45
U10244,US State,Rafa Nadal,45+
U102450,California,Queen Serena,18-24
U10251,Texas,Rafael Nadal,18-24
U10256,Illinois,Rafa Nadal,18-24
U10258,New York,Emma Radunanucanunu,45+
U102598,New York,Rafael Nadal,18-24
U102630,Florida,Queen Serena,18-24
U102668,New York,Rafa,34-45
U102731,Texas,Serena Williams,34-45
U10276,Illinois,Roger Federer,18-24
U102785,California,Roger Federer,45+
U102816,New York,Emma Raducanu,25-34
U102863,Ohio,Emma Raducanu,45+
U10290,Ohio,Rafael Nadal,18-24
U102927,Texas,Rafael Nadal,18-24
U102952,Ohio,Roder Feedderer,18-24
U102961,New York,Rafael Nadal,25-34
U103019,Florida,Rafael Nadal,18-24
U10305,Illinois,Roder Feedderer,34-45
U103087,California,Roder Feedderer,34-45
U10309,New York,Rafael Nadal,45+
U10314,Ohio,Rafa,18-24
U103164,California,Roder Feedderer,25-34
U10320,Florida,Rafa Nadal,34-45
U103252,Pennsylvania,Queen Serena,25-34
U103286,Ohio,Emma Raducanu,18-24
U103300,Texas,Serena Williams,18-24
U103318,Texas,Queen Serena,18-24
U103385,New York,Emma Raducanu,18-24
U103398,Ohio,Roder Feedderer,34-45
U103425,Illinois,Emma Radunanucanunu,45+
U103461,Illinois,Novak Djokovic,45+
U10351,New York,Emma Raducanu,18-24
U103546,Texas,Rafael Nadal,18-24
U10366,Florida,Roger Federer,18-24
U103794,Ohio,Novak Djokovic,18-24
U103803,Illinois,Rafa Nadal,25-34
U103843,Texas,Queen Serena,45+
U103937,Texas,Queen Serena,45+
U103985,California,Rafael Nadal,45+
U103989,Texas,Roder Feedderer,25-34
U1040,Pennsylvania,Queen Serena,45+
U104057,Ohio,Roger Federer,18-24
U104073,California,Emma Raducanu,45+
U10411,Illinois,Emma Raducanu,45+
U10415,Ohio,Rafael Nadal,34-45
U104236,New York,Emma Raducanu,45+
U104254,California,Queen Serena,18-24
U10426,Pennsylvania,Roger Federer,34-45
U104274,Illinois,Rafa,25-34
U1043,California,Queen Serena,18-24
U104303,Pennsylvania,Rafa Nadal,34-45
U104396,Pennsylvania,Queen Serena,18-24
U10440,New York,Rafael Nadal,18-24
U104425,Illinois,Rafael Nadal,45+
U104450,Ohio,Rafa,34-45
U104484,Florida,Rafael Nadal,34-45
U104519,California,Novak Djokovic,18-24
U104548,New York,Rafael Nadal,18-24
U104552,Pennsylvania,Novak Djokovic,25-34
U104572,New York,Rafa,34-45
U10459,Florida,Queen Serena,18-24
U104607,Pennsylvania,Emma Raducanu,25-34
U104640,California,Rafa,18-24
U104687,New York,Roger Federer,45+
U104802,Illinois,Roder Feedderer,45+
U104814,Texas,Emma Radunanucanunu,34-45
U10487,New York,Rafa,34-45
U10492,Texas,Serena Williams,34-45
U104957,Florida,Novak Djokovic,18-24
U104963,New York,Rafa,34-45
U104982,California,Emma Radunanucanunu,18-24
U105017,Florida,Rafa,45+
U105037,Pennsylvania,Novak Djokovic,34-45
