order_item_id,order_id,product_id,created_at,shipped_at,delivered_at,returned_at,sale_price
OI13793,O9492,P011,2022-06-22,2022-06-25,,,8.5
OI93625,O64584,P011,2021-11-06,2021-11-08,,,8.5
OI111549,O76948,P002,2023-02-27,2023-02-26,,,8.5
OI115525,O79675,P002,2022-02-27,2022-02-27,,,8.5
OI125455,O86550,P011,2022-02-12,2022-02-12,,,8.5
OI79454,O54706,P011,2023-05-02,2023-05-04,2023-05-06,,8.5
OI82492,O56815,P011,2023-03-24,2023-03-25,2023-03-28,,8.5
OI123308,O85053,P011,2023-04-11,2023-04-09,2023-04-12,,8.5
OI138130,O95254,P011,2023-02-08,2023-02-09,2023-02-11,,8.5
OI35329,O24310,P002,2023-06-11,,,,8.5
OI6721,O4587,P011,2022-12-18,,,,8.5
OI33135,O22793,P010,2021-12-04,,,,8.5
OI34026,O23387,P011,2023-03-31,,,,8.5
OI35184,O24209,P002,2022-08-03,,,,8.5
OI39302,O27042,P011,2023-06-27,,,,8.5
OI11774,O8103,P004,2022-11-09,2022-11-09,,,9.5
OI47686,O32818,P007,2021-06-28,2021-06-29,,,9.5
OI65787,O45293,P007,2023-06-27,2023-06-28,,,9.5
OI100363,O69189,P011,2023-03-29,2023-03-29,,,9.5
OI101853,O70232,P004,2021-12-08,2021-12-05,,,9.5
OI109720,O75694,P004,2023-05-18,2023-05-20,,,9.5
OI114576,O79017,P007,2022-06-19,2022-06-22,,,9.5
OI125961,O86888,P007,2022-09-09,2022-09-12,,,9.5
OI134214,O92604,P007,2023-03-17,2023-03-19,,,9.5
OI161728,O111461,P011,2020-11-16,2020-11-16,,,9.5
OI34095,O23436,P004,2022-07-15,2022-07-17,2022-07-21,,9.5
OI52779,O36248,P004,2022-04-15,2022-04-17,2022-04-22,,9.5
OI122412,O84446,P004,2022-11-15,2022-11-18,2022-11-19,,9.5
OI171563,O118158,P007,2020-03-07,2020-03-07,2020-03-10,,9.5
OI129898,O89638,P011,2022-12-19,2022-12-21,2022-12-22,2022-12-23,9.5
OI37753,O25966,P004,2022-02-26,,,,9.5
OI173158,O119257,P004,2020-06-05,,,,9.5
OI33751,O23204,P011,2021-07-25,,,,9.5
OI74338,O51182,P004,2023-04-07,,,,9.5
OI151888,O104650,P008,2023-03-19,2023-03-23,,,10.0
OI26084,O17932,P008,2022-01-21,2022-01-24,2022-01-27,,10.0
OI40506,O27859,P008,2023-04-04,2023-04-06,2023-04-08,,10.0
OI50672,O34827,P008,2022-09-30,2022-10-02,2022-10-02,,10.0
OI78144,O53806,P008,2023-01-17,2023-01-19,2023-01-23,,10.0
OI125991,O86909,P008,2021-10-08,2021-10-09,2021-10-10,,10.0
OI51669,O35485,P004,2022-08-02,2022-08-03,,,11.0
OI160056,O110311,P004,2023-02-28,2023-03-01,,,11.0
OI21722,O14942,P004,2022-10-03,2022-10-02,2022-10-04,,11.0
OI163832,O112889,P004,2022-09-11,2022-09-09,2022-09-11,,11.0
OI78225,O53852,P004,2022-04-01,2022-04-01,2022-04-04,2022-04-06,11.0
OI81613,O56214,P004,2020-09-27,2020-09-27,2020-10-01,2020-10-03,11.0
OI107983,O74485,P004,2023-03-20,2023-03-21,2023-03-24,2023-03-26,11.0
OI130350,O89946,P004,2022-02-27,,,,11.0
OI172524,O118801,P004,2022-12-01,,,,11.0
OI48263,O33203,P004,2023-04-07,,,,11.0
OI86832,O59885,P004,2023-03-20,,,,11.0
OI130763,O90219,P004,2021-12-31,,,,11.0
OI173149,O119251,P004,2023-06-19,,,,11.0
