order_id,user_id,status,gender,created_at,shipped_at,delivered_at,returned_at
O100006,U80058,Shipped,F,2022-01-18,2022-01-21,,
O100012,U80065,Shipped,F,2022-08-16,2022-08-16,,
O100020,U80069,Shipped,F,2023-06-28,2023-06-30,,
O100036,U80083,Returned,F,2022-10-25,2022-10-26,2022-10-27,2022-10-27
O100038,U80085,Shipped,F,2022-07-30,2022-07-31,,
O100040,U80087,Processing,F,2022-11-03,,,
O100073,U80109,Cancelled,F,2023-03-25,,,
O100103,U80131,Processing,F,2023-03-25,,,
O100154,U80167,Complete,F,2020-09-30,2020-10-02,2020-10-05,
O100198,U80206,Returned,F,2021-11-14,2021-11-12,2021-11-15,2021-11-15
O100225,U80224,Cancelled,F,2021-08-04,,,
O100229,U80228,Complete,F,2022-09-25,2022-09-27,2022-09-27,
O100239,U80240,Cancelled,F,2021-03-05,,,
O100285,U80282,Cancelled,F,2021-09-16,,,
O100297,U80289,Cancelled,F,2022-05-16,,,
O100299,U80290,Complete,F,2022-04-10,2022-04-11,2022-04-12,
O10030,U8072,Processing,F,2023-05-10,,,
O100314,U80299,Complete,F,2021-04-01,2021-04-01,2021-04-01,
O10033,U8073,Complete,F,2021-07-22,2021-07-21,2021-07-25,
O100346,U80326,Shipped,F,2022-08-15,2022-08-16,,
O100355,U80333,Processing,F,2022-08-08,,,
O100365,U80341,Complete,F,2022-03-24,2022-03-22,2022-03-23,
O100366,U80341,Returned,F,2021-10-10,2021-10-12,2021-10-13,2021-10-13
O100369,U80342,Complete,F,2022-12-01,2022-12-01,2022-12-01,
O100375,U80347,Shipped,F,2022-06-16,2022-06-17,,
O100384,U80353,Cancelled,F,2022-07-05,,,
O100390,U80357,Shipped,F,2022-04-24,2022-04-24,,
O1004,U799,Cancelled,F,2023-04-21,,,
O100403,U80369,Processing,F,2023-02-21,,,
O100412,U80379,Cancelled,F,2022-11-27,,,
O100414,U80379,Complete,F,2021-12-01,2021-12-03,2021-12-03,
O100425,U80390,Complete,F,2021-09-16,2021-09-18,2021-09-23,
O100448,U80409,Returned,F,2023-06-17,2023-06-16,2023-06-17,2023-06-17
O100458,U80416,Shipped,F,2023-02-17,2023-02-16,,
O100459,U80416,Complete,F,2023-01-10,2023-01-11,2023-01-15,
O100466,U80419,Shipped,F,2021-05-11,2021-05-10,,
O100473,U80422,Cancelled,F,2023-06-14,,,
O10049,U8087,Cancelled,F,2023-02-08,,,
O100511,U80454,Cancelled,F,2020-10-07,,,
O100512,U80454,Cancelled,F,2022-01-02,,,
O100513,U80454,Returned,F,2020-07-06,2020-07-06,2020-07-07,2020-07-07
O10052,U8091,Processing,F,2023-07-01,,,
O100538,U80484,Complete,F,2021-01-18,2021-01-18,2021-01-18,
O100557,U80496,Cancelled,F,2023-03-25,,,
O100597,U80527,Complete,F,2022-12-14,2022-12-17,2022-12-20,
O100607,U80535,Shipped,F,2022-05-31,2022-05-30,,
O100619,U80543,Shipped,F,2021-09-23,2021-09-20,,
O100657,U80578,Shipped,F,2020-11-23,2020-11-24,,
O100685,U80599,Complete,F,2022-05-20,2022-05-21,2022-05-25,
O100714,U80630,Complete,F,2023-05-04,2023-05-01,2023-05-04,
O100765,U80667,Processing,F,2022-04-26,,,
O10077,U8111,Shipped,F,2021-12-26,2021-12-29,,
O100773,U80674,Processing,F,2022-05-03,,,
O100790,U80687,Shipped,F,2021-01-22,2021-01-25,,
O100797,U80695,Shipped,F,2023-05-28,2023-05-29,,
O100814,U80707,Shipped,F,2021-02-13,2021-02-13,,
O100830,U80717,Cancelled,F,2021-10-29,,,
O100837,U80727,Cancelled,F,2023-04-24,,,
O100838,U80727,Cancelled,F,2022-09-19,,,
O100839,U80730,Returned,F,2023-02-18,2023-02-17,2023-02-21,2023-02-21
O100850,U80744,Shipped,F,2020-01-09,2020-01-11,,
